Away	Home	Spread (H)	O/U	Away score	Home score
NO	ATL	5.5	43	27	26
PHI	DET	4.5	48.5	38	35
IND	JAX	3.5	45	0	24
kc	ind	5.5	50.5	17	20
buf	mia	5.5	52.5	19	21
bal	ne	3.5	44	37	26
lar	ari	3.5	48.5	20	12
BUF	BAL	3.5	51	23	20
LAC	HOU	5.5	45	34	24
MIA	NYJ	3.5	46	17	40
PHI	ARI	5.5	49	20	17
SF	ATL	5.5	44.5	14	28
MIN	MIA	3.5	45.5	24	16
BAL	NYG	5.5	45	20	24
GB	WAS	4.5	41.5	21	23
MIA	DET	3.5	51.5	31	27
CIN	CLE	3.5	45	13	32
MIA	CHI	4.5	45.5	35	32
GB	DET	3.5	49.5	9	15
MIN	WAS	3.5	43.5	20	17
LAC	ATL	3.5	49.5	20	17
DAL	GB	4.5	43	28	31
WAS	HOU	3.5	41	23	10
CIN	PIT	4.5	41	37	30
KC	LAC	5.5	52	30	27
TB	CLE	3.5	42.5	17	23
CIN	TEN	3.5	42.5	20	16
BAL	JAX	4.5	43.5	27	28
LAC	ARI	3.5	48.5	25	24
BUF	NE	4.5	44	24	10
GB	CHI	3.5	44.5	28	19
MIA	LAC	3.5	52.5	17	23
SF	SEA	3.5	42.5	21	13
DAL	JAX	4.5	48	34	40
CIN	TB	3.5	44	34	23
CIN	ME	3.5	41.5	22	18
LAC	IND	4.5	45.5	20	3
JAX	HOU	4.5	43.5	31	3
JAX	IND	5.5	46.5	31	21
PHI	NE	4.5	45	25	20
DAL	NYG	3.5	45	40	0
KC	JAX	3.5	51	17	9
NYG	ARI	4.5	39.5	31	28
MIA	NE	3.5	46.5	24	17
NO	CAR	3.5	39.5	20	17
PHI	TB	5.5	46	25	11
NE	MIA	-3.5	46	7	20
NYG	TEN	-5.5	43.5	21	20
LV	LAC	-3.5	52	19	24
LAC	KC	-4.5	52.5	24	27
MIA	BAL	-3.5	44.5	42	38
ARI	LV	-5.5	51.5	29	23
pit	clev	-4.5	38	17	29
mia	cin	-4.5	49	15	27
WAS	DAL	-3.5	41.5	10	25
SEA	DET	-4.5	48	48	45
TEN	IND	-3.5	43	24	17
CHI	NYG	-3.5	39.5	12	20
NYJ	PIT	-3.5	41.5	24	20
IND	DEN	-3.5	42	12	9
DET	NE	-3.5	46	0	29
SEA	NO	-5.5	46	32	39
DAL	LAR	-5.5	43	22	10
CIN	BAL	-3.5	48	17	19
DEN	LAC	-4.5	45.5	16	19
NYG	JAX	-3.5	43	23	17
SEA	LAC	-5.5	50.5	37	23
CAR	ATL	-4.5	41	34	37
ARI	MIN	-3.5	49	26	34
WAS	IND	-3.5	39.5	17	16
NYG	SEA	-3.5	44.5	13	27
IND	NE	-5.5	40.5	3	26
LAR	TB	-3.5	42.5	13	16
MIN	BUF	-3.5	43.5	33	30
DET	CHI	-3.5	48.5	31	30
DEN	TEN	-3.5	37.5	10	17
CLE	MIA	-3.5	49	17	39
HOU	NYG	-4.5	41	16	24
IND	LV	-4.5	41	25	20
TEN	GB	-3.5	40.5	27	17
CHI	ATL	-3.5	49	24	27
NYJ	NE	-3.5	38	3	10
LAR	NO	-3.5	39	20	27
DET	NYG	-3.5	45	31	18
ATL	WAS	-4.5	40.5	13	19
LV	SEA	-3.5	47.5	40	34
NYJ	MIN	-3.5	44.5	22	27
TEN	PHI	-4.5	44.5	10	35
MIA	SF	-4.5	46.5	17	33
NO	TB	-3.5	40.5	16	17
CLE	CIN	-5.5	46.5	10	23
JAX	TEN	-4.5	41	36	22
TB	SF	-3.5	37.5	7	35
CAR	SEA	-4.5	44.5	30	24
IND	MIN	-4.5	47.5	36	39
BAL	CLE	-3.5	38	3	13
ATL	NO	-4.5	43.5	25	20
PIT	CAR	-3.5	37.5	24	16
ARI	DEN	-3.5	37	15	24
TEN	LAC	-3.5	46.5	14	17
NYG	WAS	-4.5	40.5	20	12
NO	CLE	-3.5	32	17	10
NYG	MIN	-4.5	48	24	27
HOU	TEN	-3.5	35.5	19	14
PHI	DAL	-4.5	46.5	34	40
GB	MIA	-4.5	50	26	20
ARI	ATL	-3.5	42	19	20
MIA	NE	-3.5	41	21	23
IND	NYG	-5.5	39	10	38
CAR	TB	-3.5	40.5	24	30
MIN	GB	-3.5	48	17	41
DET	KC	-4.5	53	21	20
CAR	ATL	-3.5	39.5	10	24
TB	MIN	-5.5	45.5	20	17
TEN	NO	-3.5	41.5	15	16
LV	DEN	-3.5	44	17	16
MIA	LAC	-3.5	51	36	24
LAR	SEA	-5.5	46.5	30	13
BAL	CIN	-3.5	46.5	27	24
SEA	DET	-4.5	47.5	37	31
WAS	DEN	-3.5	39	35	33
TEN	CLE	-3.5	39.5	3	27
ATL	DET	-3.5	46	6	20
LAR	CIN	-3.5	44	16	19
